thematique_num,thematique_nom,critere_num,critere_id,titre,nb_tests,classification_proposee,wcag_refs
3,Couleurs,3,3.3,"Dans chaque page web, les couleurs utilisées dans les composants d’interface ou les éléments graphiques porteurs d’informations sont-elles suffisamment contrastées (hors cas particuliers) ?",4,DETERMINISTE (à confirmer),1.4.11 Non-text Contrast (AA)
4,Multimédia,1,4.1,"Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audiodescription (hors cas particuliers) ?",3,DETERMINISTE (à confirmer),1.2.1 Audio-only and Video-only (Prerecorded) (A) | 1.2.3 Audio Description or Media Alternative (Prerecorded) (A)
4,Multimédia,2,4.2,"Pour chaque média temporel pré-enregistré ayant une transcription textuelle ou une audiodescription synchronisée, celles-ci sont-elles pertinentes (hors cas particuliers) ?",3,IA_ASSISTE (à confirmer),1.2.1 Audio-only and Video-only (Prerecorded) (A) | 1.2.3 Audio Description or Media Alternative (Prerecorded) (A)
4,Multimédia,3,4.3,"Chaque média temporel synchronisé pré-enregistré a-t-il, si nécessaire, des sous-titres synchronisés (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),1.2.2 Captions (Prerecorded) (A)
4,Multimédia,4,4.4,"Pour chaque média temporel synchronisé pré-enregistré ayant des sous-titres synchronisés, ces sous-titres sont-ils pertinents ?",1,IA_ASSISTE (à confirmer),1.2.2 Captions (Prerecorded) (A)
4,Multimédia,5,4.5,"Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audiodescription synchronisée (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),1.2.5 Audio Description (Prerecorded) (AA)
4,Multimédia,6,4.6,"Pour chaque média temporel pré-enregistré ayant une audiodescription synchronisée, celle-ci est-elle pertinente ?",2,IA_ASSISTE (à confirmer),1.2.5 Audio Description (Prerecorded) (AA)
4,Multimédia,7,4.7,Chaque média temporel est-il clairement identifiable (hors cas particuliers) ?,1,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
4,Multimédia,8,4.8,"Chaque média non temporel a-t-il, si nécessaire, une alternative (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
4,Multimédia,9,4.9,"Pour chaque média non temporel ayant une alternative, cette alternative est-elle pertinente ?",1,IA_ASSISTE (à confirmer),1.1.1 Non-text Content (A)
4,Multimédia,10,4.10,Chaque son déclenché automatiquement est-il contrôlable par l’utilisateur ?,1,DETERMINISTE (à confirmer),1.4.2 Audio Control (A)
4,Multimédia,11,4.11,"La consultation de chaque média temporel est-elle, si nécessaire, contrôlable par le clavier et tout dispositif de pointage ?",3,DETERMINISTE (à confirmer),2.1.1 Keyboard (A) | 2.1.2 No Keyboard Trap (A)
4,Multimédia,12,4.12,La consultation de chaque média non temporel est-elle contrôlable par le clavier et tout dispositif de pointage ?,2,DETERMINISTE (à confirmer),2.1.1 Keyboard (A) | 2.1.2 No Keyboard Trap (A)
4,Multimédia,13,4.13,Chaque média temporel et non temporel est-il compatible avec les technologies d’assistance (hors cas particuliers) ?,2,DETERMINISTE (à confirmer),"4.1.2 Name, role, Value (A)"
5,Tableaux,1,5.1,Chaque tableau de données complexe a-t-il un résumé ?,1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,2,5.2,"Pour chaque tableau de données complexe ayant un résumé, celui-ci est-il pertinent ?",1,IA_ASSISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,3,5.3,"Pour chaque tableau de mise en forme, le contenu linéarisé reste-t-il compréhensible ?",1,IA_ASSISTE (à confirmer),"1.3.2 Meaningful Sequence (A) | 4.1.2 Name, Role, Value (A)"
5,Tableaux,4,5.4,"Pour chaque tableau de données ayant un titre, le titre est-il correctement associé au tableau de données ?",1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,5,5.5,"Pour chaque tableau de données ayant un titre, celui-ci est-il pertinent ?",1,IA_ASSISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,6,5.6,"Pour chaque tableau de données, chaque en-tête de colonne et chaque en-tête de ligne sont-ils correctement déclarés ?",4,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,7,5.7,"Pour chaque tableau de données, la technique appropriée permettant d’associer chaque cellule avec ses en-têtes est-elle utilisée (hors cas particuliers) ?",5,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
5,Tableaux,8,5.8,Chaque tableau de mise en forme ne doit pas utiliser d’éléments propres aux  tableaux de données. Cette règle est-elle respectée ?,1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
6,Liens,1,6.1,Chaque lien est-il explicite (hors cas particuliers) ?,5,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A) | 2.4.4 Link Purpose (In Context) (A) | 2.5.3 Label in Name (A)
6,Liens,2,6.2,"Dans chaque page web, chaque lien a-t-il un intitulé ?",1,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A) | 2.4.4 Link Purpose (In Context) (A)
7,Scripts,1,7.1,"Chaque script est-il, si nécessaire, compatible avec les technologies d’assistance ?",3,DETERMINISTE (à confirmer),"2.5.3 Label in Name (A) | 4.1.2 Name, Role, Value (A)"
7,Scripts,2,7.2,"Pour chaque script ayant une alternative, cette alternative est-elle pertinente ?",2,IA_ASSISTE (à confirmer),"1.1.1 Non-text Content (A) | 4.1.2 Name, Role, Value (A)"
7,Scripts,3,7.3,Chaque script est-il contrôlable par le clavier et par tout dispositif de pointage (hors cas particuliers) ?,2,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A) | 2.1.1 Keyboard (A) | 2.4.7 Focus Visible (AA)
7,Scripts,4,7.4,"Pour chaque script qui initie un changement de contexte, l’utilisateur est-il averti ou en a-t-il le contrôle ?",1,DETERMINISTE (à confirmer),3.2.1 On Focus (A) | 3.2.2 On Input (A)
7,Scripts,5,7.5,"Dans chaque page web, les messages de statut sont-ils correctement restitués par les technologies d’assistance ?",3,MANUEL (à confirmer),4.1.3 Status Messages (AA)
8,Éléments obligatoires,1,8.1,Chaque page web est-elle définie par un type de document ?,3,DETERMINISTE (à confirmer),4.1.1 Parsing (A)
8,Éléments obligatoires,2,8.2,"Pour chaque page web, le code source généré est-il valide selon le type de document spécifié ?",1,DETERMINISTE (à confirmer),"4.1.1 Parsing (A) | 4.1.2 Name, Role, Value (A)"
8,Éléments obligatoires,3,8.3,"Dans chaque page web, la langue par défaut est-elle présente ?",1,DETERMINISTE (à confirmer),3.1.1 Language of Page (A)
8,Éléments obligatoires,4,8.4,"Pour chaque page web ayant une langue par défaut, le code de langue est-il pertinent ?",1,IA_ASSISTE (à confirmer),3.1.1 Language of Page (A)
8,Éléments obligatoires,5,8.5,Chaque page web a-t-elle un titre de page ?,1,DETERMINISTE (à confirmer),2.4.2 Page Titled (A)
8,Éléments obligatoires,6,8.6,"Pour chaque page web ayant un titre de page, ce titre est-il pertinent ?",1,IA_ASSISTE (à confirmer),2.4.2 Page Titled (A)
8,Éléments obligatoires,7,8.7,"Dans chaque page web, chaque changement de langue est-il indiqué dans le code source (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),3.1.2 Language of Parts (AA)
8,Éléments obligatoires,8,8.8,"Dans chaque page web, le code de langue de chaque changement de langue est-il valide et pertinent ?",1,IA_ASSISTE (à confirmer),3.1.2 Language of Parts (AA)
8,Éléments obligatoires,9,8.9,"Dans chaque page web, les balises ne doivent pas être utilisées uniquement à des fins de présentation. Cette règle est-elle respectée ?",1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
8,Éléments obligatoires,10,8.10,"Dans chaque page web, les changements du sens de lecture sont-ils signalés ?",2,DETERMINISTE (à confirmer),1.3.2 Meaningful Sequence (A)
9,Structuration de l’information,1,9.1,"Dans chaque page web, l’information est-elle structurée par l’utilisation appropriée de titres ?",3,DETERMINISTE (à confirmer),"1.3.1 Info and Relationships (A) | 2.4.1 Bypass Blocks (A) | 2.4.6 Headings and Labels (AA) | 4.1.2 Name, Role, Value (A)"
9,Structuration de l’information,2,9.2,"Dans chaque page web, la structure du document est-elle cohérente (hors cas particuliers) ?",1,IA_ASSISTE (à confirmer),1.3.1 Info and Relationships (A)
9,Structuration de l’information,3,9.3,"Dans chaque page web, chaque liste est-elle correctement structurée ?",3,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
9,Structuration de l’information,4,9.4,"Dans chaque page web, chaque citation est-elle correctement indiquée ?",2,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A)
10,Présentation de l’information,1,10.1,"Dans le site web, des feuilles de styles sont-elles utilisées pour contrôler la présentation de l’information ?",3,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A) | 1.3.2 Meaningful Sequence (A)
10,Présentation de l’information,2,10.2,"Dans chaque page web, le contenu visible porteur d’information reste-t-il présent lorsque les feuilles de styles sont désactivées ?",1,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A) | 1.3.1 Info and Relationships (A)
10,Présentation de l’information,3,10.3,"Dans chaque page web, l’information reste-t-elle compréhensible lorsque les feuilles de styles sont désactivées ?",1,IA_ASSISTE (à confirmer),1.3.2 Meaningful Sequence (A) | 2.4.3 Focus Order (A)
10,Présentation de l’information,4,10.4,"Dans chaque page web, le texte reste-t-il lisible lorsque la taille des caractères est augmentée jusqu’à 200 %, au moins (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),1.4.4 Resize Text (AA)
10,Présentation de l’information,5,10.5,"Dans chaque page web, les déclarations CSS de couleurs de fond d’élément et de police sont-elles correctement utilisées ?",3,DETERMINISTE (à confirmer),1.4.3 Contrast (Minimum) (AA)
10,Présentation de l’information,6,10.6,"Dans chaque page web, chaque lien dont la nature n’est pas évidente est-il visible par rapport au texte environnant ?",1,DETERMINISTE (à confirmer),1.4.1 Use of Color (A)
10,Présentation de l’information,7,10.7,"Dans chaque page web, pour chaque élément recevant le focus, la prise de focus est-elle visible ?",1,DETERMINISTE (à confirmer),1.4.1 Use of Color (A) | 2.4.7 Focus Visible (AA)
10,Présentation de l’information,8,10.8,"Pour chaque page web, les contenus cachés ont-ils vocation à être ignorés par les technologies d’assistance ?",1,DETERMINISTE (à confirmer),"1.3.2 Meaningful Sequence (A) | 4.1.2 Name, Role, Value (A)"
10,Présentation de l’information,9,10.9,"Dans chaque page web, l’information ne doit pas être donnée uniquement par la forme, taille ou position. Cette règle est-elle respectée ?",4,DETERMINISTE (à confirmer),1.3.3 Sensory Characteristics (A) | 1.4.1 Use of Color (A)
10,Présentation de l’information,10,10.10,"Dans chaque page web, l’information ne doit pas être donnée par la forme, taille ou position uniquement. Cette règle est-elle implémentée de façon pertinente ?",4,IA_ASSISTE (à confirmer),1.3.3 Sensory Characteristics (A) | 1.4.1 Use of Color (A)
10,Présentation de l’information,11,10.11,"Pour chaque page web, les contenus peuvent-ils être présentés sans perte d’information ou de fonctionnalité et sans avoir recours soit à un défilement vertical pour une fenêtre ayant une hauteur de 256 px, soit à un défilement horizontal pour une fenêtre ayant une largeur de 320 px (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),1.4.10 Reflow (AA)
10,Présentation de l’information,12,10.12,"Dans chaque page web, les propriétés d’espacement du texte peuvent-elles être redéfinies par l’utilisateur sans perte de contenu ou de fonctionnalité (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),1.4.12 Text Spacing (AA)
10,Présentation de l’information,13,10.13,"Dans chaque page web, les contenus additionnels apparaissant à la prise de focus ou au survol d’un composant d’interface sont-ils contrôlables par l’utilisateur (hors cas particuliers) ?",3,DETERMINISTE (à confirmer),1.4.13 Content on Hover or Focus (AA)
10,Présentation de l’information,14,10.14,"Dans chaque page web, les contenus additionnels apparaissant via les styles CSS uniquement peuvent-ils être rendus visibles au clavier et par tout dispositif de pointage ?",2,DETERMINISTE (à confirmer),2.1.1 Keyboard (A)
11,Formulaires,1,11.1,Chaque champ de formulaire a-t-il une étiquette ?,3,DETERMINISTE (à confirmer),"1.3.1 Info and Relationships (A) | 2.4.6 Headings and Labels (AA) | 3.3.2 Labels or Instructions (A) | 4.1.2 Name, Role, Value (A)"
11,Formulaires,2,11.2,Chaque étiquette associée à un champ de formulaire est-elle pertinente (hors cas particuliers) ?,6,IA_ASSISTE (à confirmer),2.4.6 Headings and Labels (AA) | 2.5.3 Label in Name (A) | 3.3.2 Labels or Instructions (A)
11,Formulaires,3,11.3,"Dans chaque formulaire, chaque étiquette associée à un champ de formulaire ayant la même fonction et répétée plusieurs fois dans une même page ou dans un ensemble de pages est-elle cohérente ?",2,IA_ASSISTE (à confirmer),3.2.4 Consistent Identification (AA)
11,Formulaires,4,11.4,"Dans chaque formulaire, chaque étiquette de champ et son champ associé sont-ils accolés (hors cas particuliers) ?",3,DETERMINISTE (à confirmer),3.3.2 Labels or Instructions (A)
11,Formulaires,5,11.5,"Dans chaque formulaire, les champs de même nature sont-ils regroupés, si nécessaire ?",1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A) | 3.3.2 Labels or Instructions (A)
11,Formulaires,6,11.6,"Dans chaque formulaire, chaque regroupement de champs de même nature a-t-il une légende ?",1,DETERMINISTE (à confirmer),1.3.1 Info and Relationships (A) | 3.3.2 Labels or Instructions (A)
11,Formulaires,7,11.7,"Dans chaque formulaire, chaque légende associée à un regroupement de champs de même nature est-elle pertinente ?",1,IA_ASSISTE (à confirmer),1.3.1 Info and Relationships (A) | 3.3.2 Labels or Instructions (A)
11,Formulaires,8,11.8,"Dans chaque formulaire, les items de même nature d’une liste de choix sont-ils regroupés de manière pertinente ?",3,IA_ASSISTE (à confirmer),1.3.1 Info and Relationships (A)
11,Formulaires,9,11.9,"Dans chaque formulaire, l’intitulé de chaque bouton est-il pertinent (hors cas particuliers) ?",2,IA_ASSISTE (à confirmer),"2.5.3 Label in Name (A) | 4.1.2 Name, Role, Value (A)"
11,Formulaires,10,11.10,"Dans chaque formulaire, le contrôle de saisie est-il utilisé de manière pertinente (hors cas particuliers) ?",7,IA_ASSISTE (à confirmer),3.3.1 Error Identification (A) | 3.3.2 Labels or Instructions (A)
11,Formulaires,11,11.11,"Dans chaque formulaire, le contrôle de saisie est-il accompagné, si nécessaire, de suggestions facilitant la correction des erreurs de saisie ?",2,DETERMINISTE (à confirmer),3.3.3 Error Suggestion (AA)
11,Formulaires,12,11.12,"Pour chaque formulaire qui modifie ou supprime des données, ou qui transmet des réponses à un test ou à un examen, ou dont la validation a des conséquences financières ou juridiques, les données saisies peuvent-elles être modifiées, mises à jour ou récupérées par l’utilisateur ?",2,DETERMINISTE (à confirmer),"3.3.4 Error Prevention (Legal, Financial, Data) (AA)"
11,Formulaires,13,11.13,La finalité d’un champ de saisie peut-elle être déduite pour faciliter le remplissage automatique des champs avec les données de l’utilisateur ?,1,DETERMINISTE (à confirmer),1.3.5 Identify Input Purpose (AA)
12,Navigation,1,12.1,"Chaque ensemble de pages dispose-t-il de deux systèmes de navigation différents, au moins (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),2.4.5 Multiple Ways (AA)
12,Navigation,2,12.2,"Dans chaque ensemble de pages, le menu et les barres de navigation sont-ils toujours à la même place (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),3.2.3 Consistent Navigation (AA)
12,Navigation,3,12.3,La page « plan du site » est-elle pertinente ?,3,IA_ASSISTE (à confirmer),2.4.5 Multiple Ways (AA)
12,Navigation,4,12.4,"Dans chaque ensemble de pages, la page « plan du site » est-elle accessible à partir d’une fonctionnalité identique ?",3,DETERMINISTE (à confirmer),2.4.5 Multiple Ways (AA) | 3.2.3 Consistent Navigation (AA)
12,Navigation,5,12.5,"Dans chaque ensemble de pages, le moteur de recherche est-il atteignable de manière identique ?",3,DETERMINISTE (à confirmer),3.2.3 Consistent Navigation (AA)
12,Navigation,6,12.6,"Les zones de regroupement de contenus présentes dans plusieurs pages web (zones d’en-tête, de navigation principale, de contenu principal, de pied de page et de moteur de recherche) peuvent-elles être atteintes ou évitées ?",1,DETERMINISTE (à confirmer),"1.3.1 Info and Relationships (A) | 2.4.1 Bypass Blocks (A) | 4.1.2 Name, Role, Value (A)"
12,Navigation,7,12.7,"Dans chaque page web, un lien d’évitement ou d’accès rapide à la zone de contenu principal est-il présent (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),2.4.1 Bypass Blocks (A) | 2.4.3 Focus Order (A) | 3.2.3 Consistent Navigation (AA)
12,Navigation,8,12.8,"Dans chaque page web, l’ordre de tabulation est-il cohérent ?",2,IA_ASSISTE (à confirmer),2.4.3 Focus Order (A)
12,Navigation,9,12.9,"Dans chaque page web, la navigation ne doit pas contenir de piège au clavier. Cette règle est-elle respectée ?",1,DETERMINISTE (à confirmer),2.1.1 Keyboard (A) | 2.1.2 No Keyboard Trap (A)
12,Navigation,10,12.10,"Dans chaque page web, les raccourcis clavier n’utilisant qu’une seule touche (lettre minuscule ou majuscule, ponctuation, chiffre ou symbole) sont-ils contrôlables par l’utilisateur ?",1,DETERMINISTE (à confirmer),2.1.4 Character Key Shortcuts (A)
12,Navigation,11,12.11,"Dans chaque page web, les contenus additionnels apparaissant au survol, à la prise de focus ou à l’activation d’un composant d’interface sont-ils si nécessaire atteignables au clavier ?",1,DETERMINISTE (à confirmer),2.1.1 Keyboard (A)
13,Consultation,1,13.1,"Pour chaque page web, l’utilisateur a-t-il le contrôle de chaque limite de temps modifiant le contenu (hors cas particuliers) ?",4,DETERMINISTE (à confirmer),"2.2.1 Timing Adjustable (A) | 2.2.2 Pause, Stop, Hide (A)"
13,Consultation,2,13.2,"Dans chaque page web, l’ouverture d’une nouvelle fenêtre ne doit pas être déclenchée sans action de l’utilisateur. Cette règle est-elle respectée ?",1,DETERMINISTE (à confirmer),3.2.1 On focus (A)
13,Consultation,3,13.3,"Dans chaque page web, chaque document bureautique en téléchargement possède-t-il, si nécessaire, une version accessible (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),"1.1.1 Non-text Content (A) | 1.3.1 Info and Relationships (A) | 1.3.2 Meaningful Sequence (A) | 2.4.1 Bypass Blocks (A) | 2.4.3 Focus Order (A) | 3.1.1 Language of Page (A) | 4.1.2 Name, Role, Value (A)"
13,Consultation,4,13.4,"Pour chaque document bureautique ayant une version accessible, cette version offre-t-elle la même information ?",1,DETERMINISTE (à confirmer),"1.1.1 Non-text Content (A) | 1.3.1 Info and Relationships (A) | 1.3.2 Meaningful Sequence (A) | 2.4.1 Bypass Blocks (A) | 2.4.3 Focus Order (A) | 3.1.1 Language of Page (A) | 4.1.2 Name, Role, Value (A)"
13,Consultation,5,13.5,"Dans chaque page web, chaque contenu cryptique (art ASCII, émoticône, syntaxe cryptique) a-t-il une alternative ?",1,DETERMINISTE (à confirmer),1.1.1 Non-text Content (A)
13,Consultation,6,13.6,"Dans chaque page web, pour chaque contenu cryptique (art ASCII, émoticône, syntaxe cryptique) ayant une alternative, cette alternative est-elle pertinente ?",1,IA_ASSISTE (à confirmer),1.1.1 Non-text Content (A)
13,Consultation,7,13.7,"Dans chaque page web, les changements brusques de luminosité ou les effets de flash sont-ils correctement utilisés ?",3,DETERMINISTE (à confirmer),2.3.1 Three Flashes or Below Threshold (A)
13,Consultation,8,13.8,"Dans chaque page web, chaque contenu en mouvement ou clignotant est-il contrôlable par l’utilisateur ?",2,DETERMINISTE (à confirmer),"2.2.1 Timing Adjustable (A) | 2.2.2 Pause, Stop, Hide (A)"
13,Consultation,9,13.9,"Dans chaque page web, le contenu proposé est-il consultable quelle que soit l’orientation de l’écran (portrait ou paysage) (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),1.3.4 Orientation (AA)
13,Consultation,10,13.10,"Dans chaque page web, les fonctionnalités utilisables ou disponibles au moyen d’un geste complexe peuvent-elles être également disponibles au moyen d’un geste simple (hors cas particuliers) ?",2,DETERMINISTE (à confirmer),2.5.1 Pointer Gestures (A)
13,Consultation,11,13.11,"Dans chaque page web, les actions déclenchées au moyen d’un dispositif de pointage sur un point unique de l’écran peuvent-elles faire l’objet d’une annulation (hors cas particuliers) ?",1,DETERMINISTE (à confirmer),2.5.2 Pointer Cancellation (A)
13,Consultation,12,13.12,"Dans chaque page web, les fonctionnalités qui impliquent un mouvement de l’appareil ou vers l’appareil peuvent-elles être satisfaites de manière alternative (hors cas particuliers) ?",3,DETERMINISTE (à confirmer),2.5.4 Motion Actuation (A)
